post_id,year,price,beds,word
pre2013_14362,2012,1895,2,beautiful
pre2013_78740,2008,3750,6,beautiful
pre2013_142124,2005,750,NA,beautiful
pre2013_152452,2006,3495,3,beautiful
pre2013_72500,2012,1600,1,beautiful
pre2013_138741,2005,975,1,beautiful
pre2013_18171,2012,3100,3,beautiful
pre2013_1416,2006,4000,3,beautiful
5672512875,2016,2080,1,beautiful
pre2013_19808,2012,3995,4,beautiful
pre2013_11643,2011,1195,1,beautiful
pre2013_140267,2005,1650,2,beautiful
pre2013_128159,2004,1450,2,beautiful
pre2013_143263,2005,2400,2,beautiful
5443910971,2016,1795,1,beautiful
pre2013_8215,2010,1599,2,beautiful
6603800343,2018,1885,0,beautiful
pre2013_134810,2005,1350,1,beautiful
pre2013_129669,2004,2250,4,beautiful
pre2013_153011,2006,1795,2,beautiful
5536747134,2016,1699,7,beautiful
pre2013_122816,2004,1600,NA,beautiful
pre2013_134944,2005,1700,2,beautiful
5454539914,2016,2800,1,beautiful
5668948378,2016,1699,7,beautiful
pre2013_11642,2011,2340,3,beautiful
6581429501,2018,2500,0,beautiful
pre2013_6559,2009,1700,1,beautiful
pre2013_16451,2012,1400,1,beautiful
pre2013_144549,2005,640,NA,beautiful
6546046150,2018,3985,3,beautiful
pre2013_54571,2012,3200,2,beautiful
pre2013_30452,2011,1350,1,beautiful
pre2013_123651,2004,1800,2,beautiful
pre2013_17459,2012,1500,2,beautiful
pre2013_61745,2012,3200,2,beautiful
pre2013_159331,2006,2000,1,beautiful
pre2013_47471,2012,1325,1,beautiful
pre2013_46041,2011,1285,NA,beautiful
pre2013_129790,2004,1200,1,beautiful
6591218791,2018,1885,0,beautiful
pre2013_46013,2011,1150,0,beautiful
5774799748,2016,1945,1,beautiful
pre2013_19124,2012,1245,1,beautiful
4266206760,2014,3250,2,beautiful
6625070876,2018,1350,1,beautiful
pre2013_17437,2012,9990,8,beautiful
pre2013_142685,2005,1049,1,beautiful
pre2013_156050,2006,1300,1,beautiful
pre2013_142686,2005,1195,1,beautiful
5593567541,2016,1699,7,beautiful
pre2013_128950,2004,1380,3,beautiful
pre2013_82168,2006,775,0,beautiful
pre2013_122552,2004,1600,NA,beautiful
pre2013_134655,2005,1295,1,beautiful
pre2013_142684,2005,1149,1,beautiful
pre2013_57758,2012,2500,2,beautiful
pre2013_128942,2004,1750,2,beautiful
5952898417,2017,2800,1,beautiful
5959685540,2017,2650,1,beautiful
6447332717,2018,4400,2,beautiful
pre2013_142127,2005,2295,2,beautiful
pre2013_151762,2006,5000,5,beautiful
pre2013_152577,2006,1700,2,beautiful
pre2013_28390,2008,3500,NA,beautiful
pre2013_142688,2005,900,1,beautiful
pre2013_142123,2005,895,NA,beautiful
pre2013_142689,2005,1695,2,beautiful
pre2013_4666,2007,1450,2,beautiful
pre2013_63744,2012,1295,1,beautiful
pre2013_117151,2002,950,0,beautiful
pre2013_72499,2012,2400,2,beautiful
pre2013_117801,2004,1200,1,beautiful
pre2013_118614,2004,625,2,beautiful
pre2013_130077,2004,1325,1,beautiful
pre2013_119602,2004,3500,3,beautiful
pre2013_131558,2004,1200,1,beautiful
pre2013_120262,2004,750,0,beautiful
pre2013_120292,2004,800,0,beautiful
pre2013_134219,2005,1750,2,beautiful
pre2013_121359,2004,2400,2,beautiful
pre2013_3680,2008,1300,1,beautiful
pre2013_122133,2004,1495,1,beautiful
pre2013_122244,2004,945,1,beautiful
pre2013_123157,2004,1225,1,beautiful
pre2013_123367,2004,2150,3,beautiful
pre2013_123540,2004,1225,1,beautiful
pre2013_63380,2012,1990,1,beautiful
pre2013_123859,2004,1900,2,beautiful
pre2013_124265,2004,1795,2,beautiful
pre2013_124365,2004,2375,4,beautiful
pre2013_124547,2004,1795,2,beautiful
pre2013_124996,2004,1795,2,beautiful
